aba,1=阿爸
abo,1=阿伯
aiaibaixue,1=皑皑白雪
aoaodaibu,1=嗷嗷待哺
ananfenfen,1=安安分分
age,1=阿哥
agong,1=阿公
aha,1=啊哈
ananchengqi,1=暗暗称奇
ananjingjing,1=安安静静
ajie,1=阿姐
ala,1=阿拉
ama,1=阿妈
amen,1=阿门
aman,1=阿曼
amei,1=阿妹
ana,1=阿纳
apo,1=阿婆
ananquanquan,1=安安全全
aiaowa,1=艾奥瓦
ananwenwen,1=安安稳稳
ananxinxin,1=安安心心
aya,1=啊呀
ayi,1=阿姨
aiaiyujue,1=哀哀欲绝
ayo,1=啊哟
ananyiyi,1=安安逸逸
aza,1=腌臜
ananzashe,1=暗暗咂舌
aibuai,1=爱不爱
anbuanquan,1=安不安全
anbuanyi,1=安不安逸
anbingbudong,1=按兵不动
aibingbisheng,1=哀兵必胜
anbangdingguo,1=安邦定国
anbudangche,1=安步当车
aobuguo,1=熬不过
aobuguoqu,1=熬不过去
abuhazi,1=阿布哈兹
anbujiuban,1=按部就班
aibanjie,1=矮半截
aibola,1=埃博拉
aibieliku,1=爱别离苦
anbulima,1=鞍不离马
aboluo,1=阿波罗
aobama,1=奥巴马
aibingruzi,1=爱兵如子
aibushishou,1=爱不释手
abuzhabi,1=阿布扎比
anbangzhiguo,1=安邦治国
abuzhaha,1=阿布扎哈
aobuzhu,1=熬不住
aibanzi,1=挨板子
ancuole,1=按错了
angcangqichi,1=昂藏七尺
aicairuoke,1=爱才若渴
aicairuming,1=爱财如命
ancangshaji,1=暗藏杀机
ancangxuanji,1=暗藏玄机
aidabuli,1=爱答不理
andaoer,1=安道尔
aidahe,1=爱达荷
anduchencang,1=暗渡陈仓
andaoli,1=按道理
aodili,1=奥地利
aodaliya,1=澳大利亚
andingtuanjie,1=安定团结
aidisheng,1=爱迪生
andanwuguang,1=黯淡无光
anduwannian,1=安度晚年
aideyaosi,1=爱得要死
aoerbani,1=奥尔巴尼
aerbeisi,1=阿尔卑斯
aierbushang,1=哀而不伤
aerbaniya,1=阿尔巴尼亚
aerfa,1=阿尔法
aerjier,1=阿尔及尔
aerjiliya,1=阿尔及利亚
aierlan,1=爱尔兰
anfuanfu,1=安抚安抚
aifeiertieta,1=埃菲尔铁塔
afuhan,1=阿富汗
afanti,1=阿凡提
anfenshouji,1=安分守己
anfenzhizu,1=安分知足
anfaxianchang,1=案发现场
ageamei,1=阿哥阿妹
aigangjingye,1=爱岗敬业
angela,1=安哥拉
aoguolai,1=熬过来
aoguoqu,1=熬过去
aiguorenshi,1=爱国人士
aogusita,1=奥古斯塔
agenting,1=阿根廷
aogengshouye,1=熬更守夜
aiguozhe,1=爱国者
aiguozhixin,1=爱国之心
aiguozhuyi,1=爱国主义
aigezi,1=矮个子
aihongbianye,1=哀鸿遍野
anggui,1=昂贵
aihenjiaozhi,1=爱恨交织
angqi,1=昂起
anhaoruchu,1=安好如初
angran,1=盎然
angsi,1=盎司
anhuisheng,1=安徽省
angshou,1=昂首
angzhe,1=昂着
aihaozhe,1=爱好者
angyang,1=昂扬
angzang,1=肮脏
aiai,1=矮矮
aiai,1=皑皑
aibian,1=癌变
aicao,1=艾草
aicai,1=爱才
aici,1=挨次
aida,1=挨打
aidao,1=哀悼
aidai,1=爱戴
aidang,1=爱党
aidun,1=矮墩
aie,1=挨饿
aifa,1=挨罚
aifu,1=爱抚
aifei,1=爱妃
aigao,1=哀告
aige,1=挨个
aigang,1=爱岗
aiguo,1=爱国
aihao,1=爱好
aihe,1=爱河
aihen,1=爱恨
aihuo,1=爱火
aihong,1=哀鸿
aihu,1=爱护
aichao,1=爱巢
aicheng,1=爱称
aichi,1=爱吃
aichou,1=哀愁
aijin,1=挨近
aiji,1=埃及
aijiang,1=爱将
aijian,1=挨肩
aijiao,1=哀叫
aijie,1=娭毑
aijiu,1=艾灸
aijia,1=挨家
aiken,1=哀恳
aikan,1=爱看
aiku,1=爱哭
aikou,1=隘口
aile,1=矮了
aile,1=挨了
ailang,1=爱郎
anchangli,1=按常理
ailian,1=爱恋
ailian,1=爱怜
anchanglilaishuo,1=按常理来说
ailv,1=爱侣
aima,1=挨骂
aimin,1=爱民
aimen,1=挨门
aiming,1=哀鸣
aimu,1=爱慕
aimei,1=暧昧
aimei,1=爱美
aini,1=爱你
ainv,1=爱女
aipang,1=矮胖
aipi,1=挨批
aiqi,1=爱妻
aiqing,1=爱情
aiqing,1=爱卿
aiqiang,1=矮墙
aiqian,1=爱钱
aiqie,1=哀切
aiqiu,1=哀求
aiquan,1=爱犬
airen,1=爱人
aisi,1=哀思
aita,1=爱他
aiti,1=挨踢
aiti,1=哀啼
aitan,1=哀叹
aiting,1=爱听
aitong,1=哀痛
aitu,1=爱徒
aishen,1=爱神
aishang,1=爱上
aishi,1=碍事
aishou,1=碍手
aizhe,1=挨着
aizhe,1=爱着
aizheng,1=癌症
aizhi,1=爱之
aiwan,1=爱玩
aiwan,1=哀婉
aiwo,1=爱我
aixin,1=爱心
aixi,1=爱惜
aixiao,1=矮小
anchaoxiongyong,1=暗潮汹涌
aiya,1=哎呀
aiye,1=艾叶
aiyi,1=爱意
aiyan,1=碍眼
aiyo,1=哎哟
aiyuan,1=哀怨
aiyong,1=爱用
aiyue,1=哀乐
aiyu,1=碍于
aiyou,1=哎呦
aizai,1=挨宰
aizai,1=哀哉
aizeng,1=爱憎
aizi,1=矮子
aizi,1=艾滋
aizi,1=爱子
achangzu,1=阿昌族
aizou,1=挨揍
aijiaaihu,1=挨家挨户
anjinganjing,1=安静安静
aijianbingzu,1=挨肩并足
aijiancabei,1=挨肩擦背
anjingle,1=安静了
anjialuohu,1=安家落户
anjuleye,1=安居乐业
ajimide,1=阿基米德
anjiannanfang,1=暗箭难防
anjisuan,1=氨基酸
anjianshangren,1=暗箭伤人
anjiazhiye,1=安家置业
aikanbukan,1=爱看不看
ankala,1=安卡拉
akense,1=阿肯色
aluba,1=阿鲁巴
alibaba,1=阿里巴巴
alabolianheqiuzhangguo,1=阿拉伯联合酋长国
ailibuli,1=爱理不理
alabo,1=阿拉伯
alaboshuzi,1=阿拉伯数字
alading,1=阿拉丁
anlaofenpei,1=按劳分配
anlihui,1=安理会
anlilaishuo,1=按理来说
aolinpike,1=奥林匹克
aolinpiya,1=奥林匹亚
anlaoquchou,1=按劳取酬
alianqiu,1=阿联酋
anlesi,1=安乐死
alasijia,1=阿拉斯加
alishan,1=阿里山
anlishuo,1=按理说
ailiwen,1=埃里温
anlewo,1=安乐窝
ailixin,1=爱立信
anliuyongdong,1=暗流涌动
anleyi,1=安乐椅
amaoagou,1=阿猫阿狗
aimenaihu,1=挨门挨户
anmoanmo,1=按摩按摩
aimodayuxinsi,1=哀莫大于心死
anmalaodun,1=鞍马劳顿
aimonengzhu,1=爱莫能助
aiminruzi,1=爱民如子
amusitedan,1=阿姆斯特丹
aimenzhuhu,1=挨门逐户
aimeizhixin,1=爱美之心
aomanwuli,1=傲慢无礼
aomiaowuqiong,1=奥妙无穷
aimuxurong,1=爱慕虚荣
anmianyao,1=安眠药
aimianzi,1=爱面子
anan,1=暗暗
anbao,1=安保
anbao,1=暗堡
anbang,1=安邦
anban,1=案板
anbian,1=岸边
annabolisi,1=安那波利斯
anbu,1=安瓿
annabuzhu,1=按捺不住
aonaobuyi,1=懊恼不已
ancang,1=暗藏
anci,1=按此
ainancongming,1=碍难从命
ancuo,1=按错
ancun,1=暗忖
andao,1=暗道
ande,1=俺的
andi,1=暗地
andan,1=暗淡
anding,1=安定
andu,1=安度
andun,1=安顿
anfa,1=案发
anfen,1=安分
anfeng,1=暗讽
anfang,1=安放
anfan,1=案犯
anfu,1=安抚
ange,1=暗格
angang,1=鞍钢
angui,1=暗鬼
angou,1=暗沟
anhao,1=暗号
anhai,1=暗害
anhe,1=暗合
anhan,1=暗含
anhuang,1=暗黄
anhong,1=暗红
anhui,1=安徽
anhei,1=暗黑
anhun,1=安魂
ancha,1=安插
anchao,1=暗潮
anchen,1=暗沉
anchang,1=暗娼
anchuang,1=暗疮
anchu,1=暗处
anchun,1=鹌鹑
anjin,1=按金
anji,1=按季
anjing,1=安静
anjian,1=按键
anjian,1=案件
anjiao,1=暗礁
anjie,1=按揭
anjuan,1=案卷
anju,1=安居
anjia,1=安家
anke,1=安可
ankang,1=安康
ankui,1=暗亏
ankou,1=暗扣
anla,1=安拉
anle,1=安乐
anli,1=案例
anli,1=按理
anling,1=按铃
anlian,1=暗恋
anliu,1=暗流
anlv,1=暗绿
anlei,1=按类
anma,1=鞍马
anmin,1=安民
anmen,1=暗门
anmi,1=安谧
anman,1=安曼
anmian,1=安眠
anmo,1=按摩
anna,1=按捺
anneng,1=安能
anning,1=安宁
annian,1=按年
anniu,1=按钮
anpai,1=安排
anpei,1=安培
anqin,1=安寝
anqi,1=按期
anqi,1=暗器
anqing,1=案情
anquan,1=安全
anqu,1=暗渠
anri,1=按日
anran,1=安然
anran,1=黯然
anrou,1=按揉
anse,1=暗色
ansuo,1=暗锁
ansuan,1=暗算
antai,1=安泰
antan,1=暗探
antian,1=安恬
antuo,1=安妥
antou,1=案头
ansha,1=暗杀
anshao,1=暗哨
anshe,1=安设
anshen,1=安神
ansheng,1=安生
anshang,1=岸上
anshi,1=按时
anshi,1=暗示
anshan,1=鞍山
anshuo,1=按说
anshu,1=谙熟
anshui,1=安睡
anzhao,1=按照
anzhe,1=按着
anzhen,1=安枕
anzhi,1=安置
anzhuang,1=安装
anzhuo,1=安卓
anzhong,1=暗中
anzhu,1=按住
anwen,1=安稳
anwo,1=安卧
anwei,1=安慰
anwei,1=安危
anxin,1=安心
anxi,1=安息
anxiang,1=安详
anxiang,1=暗箱
anxian,1=暗线
anxian,1=安闲
anxiao,1=暗笑
anxie,1=安歇
anxu,1=按需
anxia,1=按下
anya,1=按压
anye,1=暗夜
anyi,1=安逸
anying,1=暗影
anyong,1=暗涌
anyue,1=按月
anyu,1=暗语
anzai,1=安在
anzang,1=安葬
anzi,1=案子
anzi,1=暗自
anzuo,1=安坐
aoan,1=傲岸
aoao,1=嗷嗷
aocao,1=凹槽
aodao,1=熬到
aodi,1=奥迪
aoduan,1=拗断
aoguo,1=熬过
aogu,1=傲骨
aohen,1=凹痕
aohui,1=懊悔
aocheng,1=熬成
aochu,1=凹处
aojin,1=凹进
aojing,1=凹镜
aojiao,1=傲娇
aokou,1=拗口
